"FACT FCODE","TRIMX FCODE","Class","Label","Attributes","Color","LineWidth","LinePattern","Visible"
"AG17750000","AG17750000","ExtractionSite","Underground Mine",,,,,TRUE
"AG21550000","AG21550000","ExtractionSite","Gravel/Sand Pit",,,,,TRUE
"AG21550001","AG21550001","ExtractionSite","Abandoned Pit",,,,,TRUE
"AG21550110","AG21550110","ExtractionSite","Gravel/Sand Pit  (symbolized)",,,,,TRUE
"AG97800000","AG97800000","ExtractionSite","Underground Mine  (symbolized)",,,,,TRUE
"GB22500000","GB22500000","ExtractionSite","Quarry",,,,,TRUE
"GA10450000","GA10450000","Falls","Falls",,,,,TRUE
"GA10450110","GA10450110","Falls","Falls (symbolized)",,,,,TRUE
"CR10750000","CR10750000","Fence","Fence",,,,,TRUE
"AQ10800000","AQ10800000","FerryRoute","Ferry Route",,,,,TRUE
,,"FloodedLand",,,,,,TRUE
,,"FloodedLand","Retired","updateHistory.retirementHistory!=","blue",0.25,"3,3",TRUE
"GB11350110","GB11350110","FloodedLand","Inundated Land","floodedLandType=","blue",0.25,,TRUE
"GC17100000","GC17100000","FloodedLand","Marsh","floodedLandType=marsh","blue",0.25,,TRUE
"GC30050000","GC30050000","FloodedLand","Swamp","floodedLandType=swamp","blue",0.25,,TRUE
"GE90200000","GE90200000","FlowDirectionIndicator","Flow Arrow",,,,,TRUE
"GE90200110","GE90200110","FlowDirectionIndicator","Arrowhead",,,,,TRUE
"DD93100000","DD93100000","Footbridge","Footbridge",,,,,TRUE
"AQ13450000","AQ13450000","Helipad","Helipad (symbolized)",,,,,TRUE
,,"IceMass",,,,,,TRUE
,,"IceMass","Retired","updateHistory.retirementHistory!=","blue",0.25,"1,1",FALSE
"GD12300000","GD12300000","IceMass","Glacier","iceMassType=glacier","blue",0.25,"1,1",TRUE
"GD14450000","GD14450000","IceMass","Icefield","iceMassType=icefield","brown",0.25,"3,1.5",TRUE
"GE14850000","GE14850000","Island","Island",,"blue",0.25,,TRUE
"GE14850000","GE14850000","Island","Retired","updateHistory.retirementHistory!=","blue",0.25,"3,3",FALSE
"GE94850000","GE94850000","Island","Island (symbolized)",,,,,TRUE
"GE94850100","GE94850100","Island","IslandPositionApproximate (symbolized)",,,,,TRUE
,,"LakeReservoir",,,,,,TRUE
,,"LakeReservoir","Retired","updateHistory.retirementHistory!=","blue",0.25,"3,3",FALSE
"GB15300000","GB15300000","LakeReservoir","Lake Definite","lakeReservoirType=lake,lakeReservoirQualifier=definite","blue",0.25,,TRUE
"GB15300130","GB15300130","LakeReservoir","Lake Indefinite","lakeReservoirType=lake,lakeReservoirQualifier=indefinite","black",0.25,,TRUE
"GB15300140","GB15300140","LakeReservoir","Lake Intermittent","lakeReservoirType=lake,lakeReservoirQualifier=intermittent","purple",0.25,"3,1.5",TRUE
"GB24300000","GB24300000","LakeReservoir","Reservoir Definite","lakeReservoirType=reservoir,lakeReservoirQualifier=definite","red",0.25,,TRUE
"GB90100000","GB90100000","LakeReservoir","Reservoir Indefinite","lakeReservoirType=reservoir,lakeReservoirQualifier=indefinite","red",0.25,"3,1.5",TRUE
"GB90100110","GB90100110","LakeReservoir","Reservoir Intermittent","lakeReservoirType=reservoir,lakeReservoirQualifier=intermittent","red",0.5,"0.5,0.5",TRUE
"GB90100120","GB90100120","LakeReservoir","Reservoir Proposed Max Res Level","lakeReservoirType=proposedMaxResLevel","red",0.5,"0.5,0.5",TRUE
,,"LandCover",,,"green",0.25,,TRUE
,,"LandCover","Retired","updateHistory.retirementHistory!=","green",0.25,"3,3",FALSE
"FI92100030","FI92100030","LandCover","Log Landing",,,,,TRUE
"FI92100130","FI92100130","LandCover","Log Landing (symbolized)",,,,,TRUE
"JA05600100","JA05600100","LandCover","Opening",,,,,TRUE
"JA05600110","JA05600110","LandCover","Opening (symbolized)",,,,,TRUE
"JA13300000","JA13300000","LandCover","Cutblock",,,,,TRUE
"JA13300200","JA13300200","LandCover","Selective Log",,,,,TRUE
"JA13300300","JA13300300","LandCover","Windfall",,,,,TRUE
"JA13300400","JA13300400","LandCover","Burn",,,,,TRUE
"JA13300500","JA13300500","LandCover","Burn Regenerating",,,,,TRUE
"JA23750000","JA23750000","LandCover","Cutblock Regenerating",,,,,TRUE
"JA31500110","JA31500110","LandCover","Snag (symbolized)",,,,,TRUE
"JA33750000","JA33750000","LandCover","Wooded Area",,,,,TRUE
"JA92050100","JA92050100","LandCover","Lone Tree (symbolized)",,,,,TRUE
"JB19150000","JB19150000","LandCover","Nursery",,,,,TRUE
"JB19650000","JB19650000","LandCover","Orchard",,,,,TRUE
"JB32800000","JB32800000","LandCover","Vineyard",,,,,TRUE
"JD12700000","JD12700000","LandCover","Grassland",,,,,TRUE
"JD26200000","JD26200000","LandCover","Scrub",,,,,TRUE
"HB15850000","HB15850000","LavaBed","Lava Bed",,,,,TRUE
"FB18500000","FB18500000","Monument","Intl Boundary Monument",,,,,TRUE
"FB18550000","FB18550000","Monument","Prov Boundary Monument",,,,,TRUE
"HB18700000","HB18700000","Moraine","Moraine",,,,,TRUE
"GF28750000",,"N/A","Spring (symbolized)",,,,,TRUE
"WA24850000",,"N/A","River/Stream Enhanced Definite",,,,,TRUE
"WA24850140",,"N/A","River/Stream Enhanced Indefinite",,,,,TRUE
"WA24850150",,"N/A","River/Stream Enhanced Intermittent",,,,,TRUE
"FR00010100","FR00010100","NoJoinSymbol","No Join (symbol)",,,,,TRUE
"CG03550000","CG03550000","NonCorridorLandmark","Burner (symbolized)",,,,,TRUE
"CG07600000","CG07600000","NonCorridorLandmark","Crane Permanent (symbolized)",,,,,TRUE
"CG12150000","CG12150000","NonCorridorLandmark","Gas Well (symbolized)",,,,,TRUE
"CG19600000","CG19600000","NonCorridorLandmark","Oil Well (symbolized)",,,,,TRUE
"CG33360000","CG33360000","NonCorridorLandmark","Well Hole (Surface only)",,,,,TRUE
"CQ01850000","CQ01850000","NonCorridorLandmark","Beacon (symbolized)",,,,,TRUE
"FE90000110","FE90000110","ObservationPoint","Stream Survey Point",,,,,TRUE
"KB14250000","KB14250000","OtherText","Hydrographic",,,,,TRUE
"KC14300000","KC14300000","OtherText","Hypsographic Excluding Contour Numbers",,,,,TRUE
"KC14300130","KC14300130","OtherText","Hypsographic Contour Numbers",,,,,TRUE
"KC14300310","KC14300310","OtherText","Landcover",,,,,TRUE
"KC14300320","KC14300320","OtherText","Landform",,,,,TRUE
"KC90000000","KC90000000","OtherText","Aerial Triangulation",,,,,TRUE
"KC90100000","KC90100000","OtherText","Transportation - Not R&R",,,,,TRUE
"KC90200000","KC90200000","OtherText","Landmark",,,,,TRUE
"KC91000000","KC91000000","OtherText","Generic",,,,,TRUE
"KN00020000","KN00020000","OtherText","History Tracking",,,,,TRUE
"FD21100000","FD21100000","PhotoCentre","PhotoCentre",,,,,TRUE
"AG21270000",,"Pile","Pile",,,,,TRUE
,"AG21275000","Pile","Pile",,,,,TRUE
,,"RailLine",,,,,,
,,"RailLine","Retired","updateHistory.retirementHistory!=","red",0.25,"3,3",FALSE
"DE22850000","DE22850000","RailLine","Double Track",,,,,TRUE
"DE22850110","DE22850110","RailLine","LightRailTransitDouble elevated",,,,,TRUE
"DE22850120","DE22850120","RailLine","LightRailTransitDouble surface",,,,,TRUE
"DE22850130","DE22850130","RailLine","LightRailTransitDouble underground",,,,,TRUE
"DE22900000","DE22900000","RailLine","Multiple Track",,,,,TRUE
"DE22950000","DE22950000","RailLine","Single Track",,,,,TRUE
"DE22950001","DE22950001","RailLine","Abandoned Track","rail",,,,TRUE
"DE22950110","DE22950110","RailLine","LightRailTransitSingle elevated",,,,,TRUE
"DE22950120","DE22950120","RailLine","LightRailTransitSingle surface",,,,,TRUE
"DE22950130","DE22950130","RailLine","LightRailTransitSingle underground",,,,,TRUE
"DF28850000","DF28850000","RailLine","Spur",,,,,TRUE
"GA23500000","GA23500000","Rapids","Rapids",,,,,TRUE
"GA23500110","GA23500110","Rapids","Rapids",,,,,TRUE
"DD24600000","DD24600000","RetainingWall","Retaining Wall",,,,,TRUE
"HB06650100","HB06650100","Ridge","Ridge definite",,,,,TRUE
"HB06650200","HB06650200","Ridge","Ridge indefinite",,,,,TRUE
,,"RiverStream",,,"blue",0.25,,TRUE
,,"RiverStream","Retired","updateHistory.retirementHistory!=","blue",0.25,"3,3",FALSE
"GA24850145","GA24850145","RiverStream","River connector","riverStreamType=connector","blue",0.25,,TRUE
"GA24850000","GA24850000","RiverStream","River Definite","riverStreamType=definite","blue",0.25,,TRUE
"GA24850130","GA24850130","RiverStream","River dry","riverStreamType=dry","blue",0.25,"1.5,1.5",TRUE
"GA24850140","GA24850140","RiverStream","River indefinite","riverStreamType=indefinite","black",0.25,,TRUE
"GA24850150","GA24850150","RiverStream","River intermittent","riverStreamType=intermittent","blue",0.25,"3,1.5",TRUE
"GA90000110","GA90000110","RiverStream","River Left Bank","riverStreamType=leftBank","blue",0.25,,TRUE
"GA90000120","GA90000120","RiverStream","River Right Bank","riverStreamType=rightBank","blue",0.25,,TRUE
,,"Road",,,"red",0.25,,TRUE
,,"Road","Retired","updateHistory.retirementHistory!=","red",0.25,"3,3",FALSE
"DA25150120","DA25150120","Road","Decommissioned","surfaceType=decommissioned","orange",0.25,"1.5,1.5",TRUE
"DA25000110","DA25000110","Road","Loose1LaneTwoWay","surfaceType=loose,numberOfLanes=1,divided=false,underConstruction=false","orange",0.25,"3,1.5",TRUE
"DA25000160","DA25000160","Road","Loose1LaneTwoWayUnderConstruction","surfaceType=loose,numberOfLanes=1,divided=false,underConstruction=true","orange",0.25,"3,1,2,1",TRUE
"DA25150140","DA25150140","Road","Loose1LaneOneWay","surfaceType=loose,numberOfLanes=1,travelDirection=oneWay","?","?","?",TRUE
"DA25000120","DA25000120","Road","Loose2LanesTwoWay","surfaceType=loose,numberOfLanes=2,divided=false,underConstruction=false","orange",0.25,,TRUE
"DA25000170","DA25000170","Road","Loose2LanesTwoWayUnderConstruction","surfaceType=loose,numberOfLanes=2,divided=false,underConstruction=true","orange",0.25,"0.5,0.5",TRUE
"DA25150150","DA25150150","Road","Loose2LanesOneWay","surfaceType=loose,numberOfLanes=2,travelDirection=oneWay","?","?","?",TRUE
"DA25000130","DA25000130","Road","Loose3LanesTwoWay","surfaceType=loose,numberOfLanes=3,divided=false,underConstruction=false","?","?","?",TRUE
"DA25000220","DA25000220","Road","Loose4LanesTwoWay","surfaceType=loose,numberOfLanes=4,divided=false,underConstruction=false","?","?","?",TRUE
"DA25150100","DA25150100","Road","Overgrown","surfaceType=overgrown","brown",0.25,"1.5,1.5",TRUE
"DA25100180","DA25100180","Road","Paved1LaneTwoWay","surfaceType=paved,numberOfLanes=1,divided=false,underConstruction=false","red",0.25,,TRUE
"DA25100320","DA25100320","Road","Paved1LaneTwoWayUnderConstruction","surfaceType=paved,numberOfLanes=1,divided=false,underConstruction=true","red",0.25,"3,1.5",TRUE
"DA25100370","DA25100370","Road","Paved1LaneOneWay","surfaceType=paved,numberOfLanes=1,travelDirection=oneWay,underConstruction=false","?","?","?",TRUE
"DA25050180","DA25050180","Road","Paved2LanesTwoWayDivided","surfaceType=paved,numberOfLanes=2,divided=true,underConstruction=false","red",0.25,,TRUE
"DA25050310","DA25050310","Road","Paved2LanesTwoWayDividedUnderConstruction","surfaceType=paved,numberOfLanes=2,divided=true,underConstruction=true","red",0.25,"3,1.5",TRUE
"DA25100190","DA25100190","Road","Paved2LanesOneWay","surfaceType=paved,numberOfLanes=2,travelDirection=oneWay,underConstruction=false","brown",0.25,"3,2,0.5,2,0.5,2",TRUE
"DA25100330","DA25100330","Road","Paved2LanesOneWayUnderConstruction","surfaceType=paved,numberOfLanes=2,travelDirection=oneWay,underConstruction=true","brown",0.25,"0.5,0.5",TRUE
"DA25100200","DA25100200","Road","Paved3LanesTwoWay","surfaceType=paved,numberOfLanes=3,divided=false,underConstruction=false","purple",0.25,"3,1.5",TRUE
"DA25100340","DA25100340","Road","Paved3LanesTwoWayUnderConstruction","surfaceType=paved,numberOfLanes=3,divided=false,underConstruction=true","brown",0.25,"3,1,2,1",TRUE
"DA25100380","DA25100380","Road","Paved3LanesOneWay","surfaceType=paved,numberOfLanes=3,travelDirection=oneWay,underConstruction=false","?","?","?",TRUE
"DA25100210","DA25100210","Road","Paved4LanesTwoWay","surfaceType=paved,numberOfLanes=4,divided=false,underConstruction=false","purple",0.25,"1.5,1.5",TRUE
"DA25100350","DA25100350","Road","Paved4LanesTwoWayUnderConstruction","surfaceType=paved,numberOfLanes=4,divided=false,underConstruction=true","purple",0.25,"0.5,0.5",TRUE
"DA25050190","DA25050190","Road","Paved4LanesTwoWayDivided","surfaceType=paved,numberOfLanes=4,divided=true,underConstruction=false","purple",0.25,"3,2,0.5,2,0.5,2",TRUE
"DA25050320","DA25050320","Road","Paved4LanesTwoWayDividedUnderConstruction","surfaceType=paved,numberOfLanes=4,divided=true,underConstruction=true","purple",0.25,"3,1,2,1",TRUE
"DA25100390","DA25100390","Road","Paved4LanesOneWay","surfaceType=paved,numberOfLanes=4,travelDirection=oneWay,underConstruction=false","?","?","?",TRUE
"DA25100220","DA25100220","Road","Paved6LanesTwoWay","surfaceType=paved,numberOfLanes=6,divided=false,underConstruction=false","green",0.25,"1.5,1.5",TRUE
